n,sigma,auction_abs_gap,auction_signed_gap,otc_abs_gap,top_decile_hit,welfare_ratio,auction_price_sd,otc_price_sd
2,0.020000,0.007786,-0.006464,0.007241,0.628000,0.628000,0.016304,0.013750
5,0.020000,0.004229,-0.001198,0.007163,0.367200,0.689344,0.015641,0.013819
10,0.020000,0.003752,0.001065,0.007229,0.246000,0.693618,0.015360,0.013916
25,0.020000,0.004121,0.003296,0.007234,0.260600,0.703281,0.015090,0.013556
50,0.020000,0.004926,0.004639,0.007154,0.345800,0.698697,0.015438,0.013932
100,0.020000,0.005760,0.005690,0.007251,0.392800,0.706439,0.015400,0.014090
2,0.040000,0.012643,-0.009994,0.010081,0.599200,0.599200,0.012537,0.010936
5,0.040000,0.008974,-0.004852,0.010037,0.317600,0.638107,0.011457,0.011124
10,0.040000,0.008000,-0.003168,0.010180,0.205600,0.648964,0.010984,0.010828
25,0.040000,0.007312,-0.001486,0.010174,0.205400,0.659524,0.010586,0.010906
50,0.040000,0.007025,-0.000873,0.010150,0.281000,0.653711,0.010515,0.010925
100,0.040000,0.006808,-0.000267,0.010137,0.307400,0.661938,0.010333,0.010920
2,0.080000,0.018164,-0.014277,0.012808,0.618200,0.618200,0.008052,0.007192
5,0.080000,0.018552,-0.015205,0.012798,0.352000,0.667118,0.006207,0.007096
10,0.080000,0.019687,-0.017071,0.012705,0.215600,0.670525,0.005559,0.006952
25,0.080000,0.021519,-0.019218,0.012821,0.240200,0.685173,0.005296,0.007159
50,0.080000,0.023229,-0.021412,0.012685,0.320200,0.685435,0.005051,0.007073
100,0.080000,0.024905,-0.023362,0.012599,0.336400,0.679544,0.004929,0.007151
